point,S2id,type
point_0001,20190212T142031_20190212T143214_T19FDF,high
point_0001,20190304T142031_20190304T142654_T19FDF,high
point_0001,20190316T141049_20190316T142437_T19FDF,high
point_0001,20190525T141059_20190525T142053_T19FDF,high
point_0001,20200308T141731_20200308T143551_T19FDF,high
point_0002,20190116T142751_20190116T143701_T19GDN,high
point_0002,20190602T142041_20190602T142839_T19GDN,high
point_0002,20200217T141651_20200217T142551_T19GDN,high
point_0002,20200410T142731_20200410T143742_T19GDN,high
point_0002,20200422T141729_20200422T142243_T19GDN,high
point_0004,20190208T143751_20190208T144455_T19KDR,high
point_0004,20190218T143751_20190218T144454_T19KDR,high
point_0004,20190414T143759_20190414T144503_T19KER,high
point_0004,20190906T143751_20190906T144705_T19KER,high
point_0004,20200717T143729_20200717T144647_T19KDR,high
point_0005,20190122T153619_20190122T153619_T17MNP,high
point_0005,20190502T153629_20190502T153626_T17MNP,high
point_0005,20191213T153611_20191213T153748_T17MNP,high
point_0005,20200610T153631_20200610T154258_T17MNP,high
point_0005,20200625T153619_20200625T153621_T17MNP,high
point_0006,20190103T150719_20190103T151036_T18LVJ,high
point_0006,20190103T150719_20190103T151036_T18LWJ,high
point_0006,20190806T150721_20190806T150843_T18LWJ,high
point_0006,20190831T150729_20190831T151107_T18LWJ,high
point_0006,20191030T150719_20191030T150721_T18LWJ,high
point_0007,20190202T181559_20190202T182031_T11SQR,high
point_0007,20190831T180919_20190831T181408_T11SQR,high
point_0007,20190905T180921_20190905T182114_T11SQR,high
point_0007,20200227T181309_20200227T182313_T11SQR,high
point_0007,20200318T180949_20200318T181654_T11SQR,high
point_0009,20190513T180929_20190513T181344_T12SWH,high
point_0009,20190528T180921_20190528T182048_T12SWH,high
point_0009,20191027T180439_20191027T180526_T12SWH,high
point_0009,20200212T181451_20200212T181553_T12SWH,high
point_0009,20200603T175909_20200603T181313_T12SWH,high
point_0010,20190125T112341_20190125T112624_T28QFG,high
point_0010,20190724T112121_20190724T113118_T28QFG,high
point_0010,20190813T112121_20190813T113228_T28QFG,high
point_0010,20190907T112119_20190907T112853_T28QFG,high
point_0010,20190922T112111_20190922T113547_T28QFG,high
point_0011,20190130T103251_20190130T104108_T31REP,high
point_0011,20190306T103019_20190306T103540_T31REP,high
point_0011,20190318T102021_20190318T102646_T31REP,high
point_0011,20190517T102031_20190517T102508_T31REP,high
point_0011,20190830T102029_20190830T102552_T31REP,high
point_0012,20180116T091319_20180116T091445_T34RFV,high
point_0012,20180302T090901_20180302T092002_T34RFV,high
point_0012,20180829T090551_20180829T091949_T34RFV,high
point_0012,20181112T091219_20181112T092057_T34RFV,high
point_0012,20191217T091309_20191217T092124_T34RFV,high
point_0013,20190504T101031_20190504T101433_T32SLC,high
point_0013,20190509T101039_20190509T102007_T32SLC,high
point_0013,20190514T101031_20190514T101441_T32SLC,high
point_0013,20191110T101241_20191110T101945_T32SLC,high
point_0013,20191230T101421_20191230T101423_T32SLC,high
point_0014,20190601T074611_20190601T075707_T37PCT,high
point_0014,20190731T074621_20190731T080415_T37QCU,high
point_0014,20190815T074619_20190815T075858_T37QCU,high
point_0014,20191213T075229_20191213T075529_T37QCU,high
point_0014,20200725T074621_20200725T075714_T37PCT,high
point_0016,20180218T083011_20180218T083855_T36RUT,high
point_0016,20181115T083211_20181115T083248_T36RUT,high
point_0016,20181125T083251_20181125T083250_T36RUT,high
point_0016,20191120T083241_20191120T083254_T36RUT,high
point_0016,20200309T082751_20200309T084046_T36RUT,high
point_0017,20190408T071619_20190408T072924_T38PQB,high
point_0017,20190818T070621_20190818T071945_T38PQB,high
point_0017,20190831T071621_20190831T073224_T38PQB,high
point_0017,20190927T070641_20190927T072119_T38PQB,high
point_0017,20200325T070621_20200325T071543_T38PQB,high
point_0018,20181215T065251_20181215T065254_T40QCG,high
point_0018,20190119T065209_20190119T070240_T40QCG,high
point_0018,20190908T063631_20190908T064747_T40QCG,high
point_0018,20190916T064629_20190916T065901_T40QCG,high
point_0018,20191222T064259_20191222T064945_T40QCG,high
point_0019,20190220T072939_20190220T074111_T38RPR,high
point_0019,20191018T072909_20191018T073856_T38RPS,high
point_0019,20191112T073141_20191112T073144_T38RPS,high
point_0019,20200316T072639_20200316T073813_T38RPS,high
point_0019,20200415T072609_20200415T073422_T38RPR,high
point_0020,20180102T075319_20180102T075640_T38SKE,high
point_0020,20180219T075951_20180219T075949_T38SKE,high
point_0020,20190313T074711_20190313T075536_T38SKE,high
point_0020,20200219T075951_20200219T080811_T38SKD,high
point_0020,20200419T075611_20200419T080344_T38SKD,high
point_0021,20181030T081041_20181030T082011_T37SDU,high
point_0021,20190324T080609_20190324T081236_T37SDU,high
point_0021,20190329T080611_20190329T081207_T37SDU,high
point_0021,20190423T080619_20190423T081724_T37SDU,high
point_0021,20191109T081049_20191109T081833_T37SDU,high
point_0022,20190120T071221_20190120T071215_T39SXR,high
point_0022,20190301T070821_20190301T071257_T39SXR,high
point_0022,20190520T070631_20190520T071436_T39SXR,high
point_0022,20191116T071151_20191116T071148_T39SXR,high
point_0022,20200419T070619_20200419T071437_T39SXR,high
point_0023,20191029T070009_20191029T070052_T40RBT,high
point_0023,20191123T070211_20191123T070212_T40RBT,high
point_0023,20200327T065619_20200327T065928_T40RBT,high
point_0023,20200720T065631_20200720T070944_T40RBT,high
point_0023,20200725T065629_20200725T070120_T40RBT,high
point_0024,20190412T065629_20190412T070829_T40RBR,high
point_0024,20190706T065631_20190706T070836_T40RBR,high
point_0024,20190731T065629_20190731T070911_T40RBR,high
point_0024,20200102T070301_20200102T070259_T40RBR,high
point_0024,20200526T065629_20200526T071049_T40RBR,high
point_0025,20181223T061241_20181223T061242_T42SVA,high
point_0025,20190402T060631_20190402T061609_T42SVA,high
point_0025,20191128T061211_20191128T061208_T42SVA,high
point_0025,20191223T061249_20191223T061748_T42SVA,high
point_0025,20200401T060629_20200401T061436_T42SVA,high
point_0026,20190803T052659_20190803T053305_T44SKB,high
point_0026,20200509T052649_20200509T053704_T44SKB,high
point_0026,20200618T052649_20200618T053712_T44SKB,high
point_0026,20200728T052649_20200728T053303_T44SKA,high
point_0026,20200728T052649_20200728T053303_T44SKB,high
point_0027,20181221T053231_20181221T053356_T44SKH,high
point_0027,20190204T053029_20190204T053148_T44SKH,high
point_0027,20190503T053651_20190503T054503_T44SKH,high
point_0027,20190604T052659_20190604T053306_T44SKH,high
point_0027,20190828T052651_20190828T052911_T44SKH,high
point_0028,20190228T050739_20190228T051623_T45TUE,high
point_0028,20190628T050659_20190628T051009_T45TUE,high
point_0028,20190827T050659_20190827T051015_T45TUE,high
point_0028,20191026T050909_20191026T050903_T45TUE,high
point_0028,20200403T050649_20200403T051359_T45TUE,high
point_0029,20190108T045151_20190108T045328_T46TBM,high
point_0029,20190309T044651_20190309T045537_T46TCM,high
point_0029,20190314T044659_20190314T045352_T45TYG,high
point_0029,20190707T044711_20190707T045327_T45TYG,high
point_0029,20200711T044701_20200711T045536_T46TCM,high
point_0030,20190111T050151_20190111T050150_T46TCR,high
point_0030,20190712T044709_20190712T044708_T46TDR,high
point_0030,20190727T044701_20190727T045120_T46TDR,high
point_0030,20190829T045701_20190829T045729_T46TCR,high
point_0030,20200412T044701_20200412T045530_T46TDR,high
point_0031,20190330T041551_20190330T041549_T47TNK,high
point_0031,20190504T041559_20190504T041807_T47TNK,high
point_0031,20190509T041551_20190509T041553_T47TNK,high
point_0031,20190703T041559_20190703T041557_T47TNK,high
point_0031,20190708T041551_20190708T041554_T47TNK,high
point_0032,20190315T032531_20190315T033351_T49TFH,high
point_0032,20190330T032539_20190330T033305_T49TFH,high
point_0032,20190713T032541_20190713T033534_T49TFH,high
point_0032,20190817T032539_20190817T033403_T49TFH,high
point_0032,20191110T032951_20191110T033139_T49TFH,high
point_0033,20181231T035141_20181231T035142_T48TYR,high
point_0033,20190120T035051_20190120T035439_T48TYR,high
point_0033,20190525T034549_20190525T034543_T48TYR,high
point_0033,20200531T033541_20200531T033541_T48TYR,high
point_0033,20200630T033541_20200630T033540_T48TYR,high
point_0034,20190120T035051_20190120T035439_T48TWK,high
point_0034,20191111T034959_20191111T034959_T48TXK,high
point_0034,20200201T033951_20200201T033950_T48TXK,high
point_0034,20200409T034529_20200409T035533_T48TWK,high
point_0034,20200526T033539_20200526T034654_T48TXK,high
point_0035,20190530T034541_20190530T035004_T48SVG,high
point_0035,20200305T034621_20200305T035050_T48SVG,high
point_0035,20200419T034529_20200419T035626_T48SVG,high
point_0035,20200618T034539_20200618T035655_T48SVG,high
point_0035,20200718T034539_20200718T035651_T48SVG,high
point_0036,20190312T040709_20190312T040916_T47TPE,high
point_0036,20190511T040549_20190511T040624_T47TPE,high
point_0036,20190605T040551_20190605T041251_T47TPE,high
point_0036,20200301T040701_20200301T040700_T47TPE,high
point_0036,20200311T040551_20200311T041059_T47TPE,high
point_0037,20190221T042811_20190221T043725_T46SFG,high
point_0037,20190621T042711_20190621T043605_T46SFG,high
point_0037,20190731T042711_20190731T043732_T46SFG,high
point_0037,20200302T042659_20200302T042843_T46SFG,high
point_0037,20200327T042701_20200327T042700_T46SFG,high
point_0039,20190214T071009_20190214T071007_T40TDM,high
point_0039,20190813T070629_20190813T071307_T40TDM,high
point_0039,20190922T070619_20190922T071745_T40TDM,high
point_0039,20191116T071151_20191116T071148_T40TDM,high
point_0039,20200504T070631_20200504T071034_T40TDM,high
point_0040,20190706T065631_20190706T065757_T40TGQ,high
point_0040,20190810T065629_20190810T065730_T40TGQ,high
point_0040,20200102T070301_20200102T070259_T40TGQ,high
point_0040,20200117T070219_20200117T070222_T40TGQ,high
point_0040,20200411T065621_20200411T065631_T40TGQ,high
point_0041,20181217T064259_20181217T064613_T41TME,high
point_0041,20190205T064049_20190205T064048_T41TME,high
point_0041,20190215T063949_20190215T064040_T41TME,high
point_0041,20190705T063639_20190705T064419_T41TME,high
point_0041,20200430T063619_20200430T064251_T41TME,high
point_0044,20190327T100029_20190327T101005_T32QMM,high
point_0044,20190526T100039_20190526T100712_T32QMM,high
point_0044,20190908T100031_20190908T100836_T32QMM,high
point_0044,20200106T100401_20200106T100404_T32QMM,high
point_0044,20200321T100029_20200321T100458_T32QMM,high
point_0045,20181213T111441_20181213T112144_T29RML,high
point_0045,20190117T111409_20190117T112054_T29RML,high
point_0045,20191128T111411_20191128T112152_T29RML,high
point_0045,20191208T111441_20191208T112152_T29RML,high
point_0045,20200327T110651_20200327T112144_T29RML,high
point_0046,20190514T182921_20190514T184336_T11SNA,high
point_0046,20190524T182921_20190524T183901_T11SNA,high
point_0046,20190807T182929_20190807T183850_T11SNA,high
point_0046,20190916T183009_20190916T183727_T11SNA,high
