"id","ts_folders","ts_json","roy_folder","final_dataset"
1,TRUE,TRUE,NA,NA
2,TRUE,TRUE,NA,NA
3,FALSE,FALSE,NA,NA
4,TRUE,TRUE,NA,NA
5,TRUE,TRUE,NA,NA
6,TRUE,TRUE,NA,NA
7,TRUE,TRUE,NA,NA
8,FALSE,FALSE,NA,NA
9,TRUE,TRUE,NA,NA
10,TRUE,TRUE,NA,NA
11,TRUE,TRUE,NA,NA
12,TRUE,TRUE,NA,NA
13,TRUE,TRUE,NA,NA
14,TRUE,TRUE,NA,NA
15,FALSE,FALSE,NA,NA
16,TRUE,TRUE,NA,NA
17,TRUE,TRUE,NA,NA
18,TRUE,TRUE,NA,NA
19,TRUE,TRUE,NA,NA
20,TRUE,TRUE,NA,NA
21,TRUE,TRUE,NA,NA
22,TRUE,TRUE,NA,NA
23,TRUE,TRUE,NA,NA
24,TRUE,TRUE,NA,NA
25,TRUE,TRUE,NA,NA
26,TRUE,TRUE,NA,NA
27,TRUE,TRUE,NA,NA
28,TRUE,TRUE,NA,NA
29,TRUE,TRUE,NA,NA
30,TRUE,TRUE,NA,NA
31,TRUE,TRUE,NA,NA
32,TRUE,TRUE,NA,NA
33,TRUE,TRUE,NA,NA
34,TRUE,TRUE,NA,NA
35,TRUE,TRUE,NA,NA
36,TRUE,TRUE,NA,NA
37,TRUE,TRUE,NA,NA
38,TRUE,TRUE,NA,NA
39,TRUE,TRUE,NA,NA
40,TRUE,TRUE,NA,NA
41,TRUE,TRUE,NA,NA
42,FALSE,FALSE,NA,NA
43,FALSE,FALSE,NA,NA
44,TRUE,TRUE,NA,NA
45,TRUE,TRUE,NA,NA
46,TRUE,TRUE,NA,NA
47,TRUE,TRUE,NA,NA
48,TRUE,TRUE,NA,NA
49,TRUE,TRUE,NA,NA
50,TRUE,TRUE,NA,NA
51,TRUE,TRUE,NA,NA
52,FALSE,FALSE,NA,NA
53,TRUE,TRUE,NA,NA
54,TRUE,TRUE,NA,NA
55,TRUE,TRUE,NA,NA
56,TRUE,TRUE,NA,NA
57,TRUE,TRUE,NA,NA
58,TRUE,TRUE,NA,NA
59,TRUE,TRUE,NA,NA
60,TRUE,TRUE,NA,NA
61,TRUE,TRUE,NA,NA
62,FALSE,FALSE,NA,NA
63,TRUE,TRUE,NA,NA
64,TRUE,TRUE,NA,NA
65,TRUE,TRUE,NA,NA
66,TRUE,TRUE,NA,NA
67,FALSE,FALSE,NA,NA
68,TRUE,TRUE,NA,NA
69,TRUE,TRUE,NA,NA
70,TRUE,TRUE,NA,NA
71,TRUE,TRUE,NA,NA
72,TRUE,TRUE,NA,NA
73,TRUE,TRUE,NA,NA
74,FALSE,FALSE,NA,NA
75,TRUE,TRUE,NA,NA
76,FALSE,FALSE,NA,NA
77,FALSE,FALSE,NA,NA
78,FALSE,FALSE,NA,NA
79,TRUE,TRUE,NA,NA
80,TRUE,TRUE,NA,NA
81,FALSE,FALSE,NA,NA
82,TRUE,TRUE,NA,NA
83,TRUE,TRUE,NA,NA
84,TRUE,TRUE,NA,NA
85,TRUE,TRUE,NA,NA
86,TRUE,TRUE,NA,NA
87,TRUE,TRUE,NA,NA
88,TRUE,TRUE,NA,NA
89,FALSE,FALSE,NA,NA
90,FALSE,FALSE,NA,NA
91,TRUE,TRUE,NA,NA
92,TRUE,TRUE,NA,NA
93,TRUE,TRUE,NA,NA
94,TRUE,TRUE,NA,NA
95,FALSE,FALSE,NA,NA
96,TRUE,TRUE,NA,NA
97,TRUE,TRUE,NA,NA
98,TRUE,TRUE,NA,NA
99,TRUE,TRUE,NA,NA
100,TRUE,TRUE,NA,NA
101,TRUE,TRUE,NA,NA
102,FALSE,FALSE,NA,NA
103,TRUE,TRUE,NA,NA
104,TRUE,TRUE,NA,NA
105,TRUE,TRUE,NA,NA
106,TRUE,TRUE,NA,NA
107,TRUE,TRUE,NA,NA
108,TRUE,TRUE,NA,NA
109,TRUE,TRUE,NA,NA
110,TRUE,TRUE,NA,NA
111,TRUE,TRUE,NA,NA
112,FALSE,FALSE,NA,NA
113,TRUE,TRUE,NA,NA
114,TRUE,TRUE,NA,NA
115,TRUE,TRUE,NA,NA
116,TRUE,TRUE,NA,NA
117,TRUE,TRUE,NA,NA
118,TRUE,TRUE,NA,NA
119,TRUE,TRUE,NA,NA
120,TRUE,TRUE,NA,NA
121,TRUE,TRUE,NA,NA
122,TRUE,TRUE,NA,NA
123,TRUE,TRUE,NA,NA
124,TRUE,TRUE,NA,NA
125,TRUE,TRUE,NA,NA
126,TRUE,TRUE,NA,NA
127,TRUE,TRUE,NA,NA
128,TRUE,TRUE,NA,NA
129,TRUE,TRUE,NA,NA
130,TRUE,TRUE,NA,NA
131,TRUE,TRUE,NA,NA
